fold,unique_id,train_end_before_target,max_lag_available_in_train,target_rows,train_rows
0,subnet_244__URLLC,True,True,36,2016
0,subnet_244__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_244__eMBB,True,True,36,2016
0,subnet_244__mMTC,True,True,36,2016
0,subnet_249__eMBB,True,True,36,2016
0,subnet_250__URLLC,True,True,36,2016
0,subnet_250__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_250__eMBB,True,True,36,2016
0,subnet_250__mMTC,True,True,36,2016
0,subnet_261__URLLC,True,True,36,2016
0,subnet_261__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_261__eMBB,True,True,36,2016
0,subnet_261__mMTC,True,True,36,2016
0,subnet_263__URLLC,True,True,36,2016
0,subnet_263__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_263__eMBB,True,True,36,2016
0,subnet_263__mMTC,True,True,36,2016
0,subnet_271__URLLC,True,True,36,2016
0,subnet_271__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_271__eMBB,True,True,36,2016
0,subnet_271__mMTC,True,True,36,2016
0,subnet_272__URLLC,True,True,36,2016
0,subnet_272__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_272__eMBB,True,True,36,2016
0,subnet_272__mMTC,True,True,36,2016
0,subnet_273__URLLC,True,True,36,2016
0,subnet_273__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_273__eMBB,True,True,36,2016
0,subnet_273__mMTC,True,True,36,2016
0,subnet_278__URLLC,True,True,36,2016
0,subnet_278__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_278__eMBB,True,True,36,2016
0,subnet_278__mMTC,True,True,36,2016
0,subnet_281__URLLC,True,True,36,2016
0,subnet_281__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_281__eMBB,True,True,36,2016
0,subnet_281__mMTC,True,True,36,2016
0,subnet_302__URLLC,True,True,36,2016
0,subnet_302__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_302__eMBB,True,True,36,2016
0,subnet_302__mMTC,True,True,36,2016
0,subnet_310__URLLC,True,True,36,2016
0,subnet_310__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_310__eMBB,True,True,36,2016
0,subnet_310__mMTC,True,True,36,2016
0,subnet_316__URLLC,True,True,36,2016
0,subnet_316__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_316__eMBB,True,True,36,2016
0,subnet_316__mMTC,True,True,36,2016
